SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.mmamania.com/2022/6/23/23179941/ufc-austin-medical-suspensions-josh-emmett-five-others-benched-indefinitely-mma,"['HLH', 'USA', 'MCOELI', 'UAF', 'UAF', nan]","['DOCTOR', 'UNITED STATES', 'ALBERT', 'FIGHTER', 'FIGHTER', nan]","[nan, nan, nan, nan, nan, nan]","['UAF', 'HLH', 'HLH', 'HLH', 'HLH', 'HLH']","['FIGHTER', 'PHYSICIAN', 'PHYSICIAN', 'DOCTOR', 'DOCTOR', 'PHYSICIAN']","[43, 80, 80, 30, 42, 80]","[4, 8, 8, 3, 4, 8]","[43, 80, 80, 30, 42, 80]","[2.8, 5.0, 5.0, 4.0, 1.9, 5.0]","[-13.5278514588859, -13.5278514588859, -13.5278514588859, -13.5278514588859, -13.5278514588859, -13.5278514588859]"
https://www.mmanews.com/2022/06/kevin-holland-dominick-cruz-commentary/,"['USA', 'MED']","['UNITED STATES', 'COMMENTATOR']","[nan, nan]","['MED', 'USA']","['COMMENTATOR', 'UNITED STATES']","[46, 46]","[4, 4]","[46, 46]","[7.0, 7.0]","[-1.6359918200409, -1.6359918200409]"
https://www.moaa.org/content/publications-and-media/news-articles/2022-news-articles/toxic-legacy-they-served-with-honor--then-their-country-let-them-down/,"[nan, 'MIL']","[nan, 'MILITARY']","[nan, nan]","['MIL', nan]","['MILITARY', nan]","[40, 40]","[4, 4]","[40, 40]","[1.0, 1.0]","[-4.16309012875536, -5.72551161157003]"
https://www.modernghana.com/news/1165738/june-19-1865-juneteenth-the-legacy-of-slavery.html,"['afa', 'USA', 'afa', 'AFR', 'USA']","['AFRICANS', 'AMERICAN', 'AFRICANS', 'AFRICA', 'SOUTH CAROLINA']","['afa', nan, 'afa', nan, nan]","['AFR', 'AFR', 'USA', 'afa', nan]","['AFRICA', 'AFRICA', 'AMERICAN', 'AFRICANS', nan]","[190, 190, 190, 190, 161]","[19, 19, 19, 19, 16]","[190, 190, 190, 190, 161]","[-10.0, -10.0, -10.0, -10.0, -4.0]","[-1.53172866520787, -1.53172866520787, -1.53172866520787, -1.53172866520787, -1.53172866520787]"
https://www.modernghana.com/news/1166086/juneteenth-the-present-lessons-and-duties-beyond.html,"['USA', 'GOV']","['UNITED STATES', 'PRESIDENT']","[nan, nan]","['USAGOV', nan]","['UNITED STATES', nan]","[81, 81]","[8, 8]","[81, 81]","[5.0, 5.0]","[-5.5280528052805, -5.5280528052805]"
https://www.modernhealthcare.com/digital-health/digital-health-execs-health-system-reluctance-partnering-people-isnt-bad-thing,[nan],[nan],[nan],['BUS'],['COMPANY'],[60],[6],[60],[6.0],[2.55009107468123]
https://www.modernhealthcare.com/finance/fines-kicking-after-slow-start-hospital-transparency-rule,['HLH'],['HOSPITAL'],[nan],[nan],[nan],[30],[3],[30],[4.0],[-1.71232876712329]
https://www.modernhealthcare.com/politics-policy/northwell-kaiser-permanente-execs-join-ceos-backing-gun-legislation,['BUS'],['CEOS'],[nan],['LEG'],['SENATOR'],[100],[10],[100],[-5.0],[-1.58227848101266]
https://www.mondaq.com/unitedstates/accounting-and-audit/1203286/ftc39s-settlement-requires-greater-advance-notice-requirements-for-future-transactions-in-continued-focus-on-private-equity-roll-up-transactions,"['CVL', 'CVL', 'CVL']","['SETTLEMENT', 'SETTLEMENT', 'SETTLEMENT']","[nan, nan, nan]","[nan, 'USA', 'USA']","[nan, 'TEXAS', 'UNITED STATES']","[120, 20, 110]","[12, 2, 11]","[120, 20, 110]","[-4.0, 3.0, -2.0]","[-1.92862889400449, -1.41906382712266, -1.38674884437596]"
https://www.mondaq.com/unitedstates/cannabis-hemp/1205680/the-week-in-weed-june-24-2022,['USAGOV'],['OBAMA'],[nan],['GOV'],['ADMINISTRATION'],[160],[16],[160],[-4.0],[1.875]
https://www.mondaq.com/unitedstates/diversity-equity-inclusion/1201818/juneteenth-america39s-newest-holiday-,"['MIL', 'USAMIL']","['MAJOR GENERAL', 'UNITED STATES']","[nan, nan]","['USA', 'USA']","['TEXAS', 'TEXAS']","[100, 100]","[10, 10]","[100, 100]","[-5.0, -5.0]","[2.84928480512271, 2.84928480512271]"
https://www.mondaq.com/unitedstates/employee-benefits-compensation/1193406/health-plan-considerations-in-the-wake-of-dobbs-v-jackson-women39s-health-organization,['BUS'],['EMPLOYER'],[nan],['USA'],['TEXAS'],[70],[7],[70],[7.0],[0.208044382801661]
https://www.mondaq.com/unitedstates/employee-benefits-compensation/1195088/dol-appeals-reinstatement-of-independent-contractor-rule-beltway-buzz-may-20-2022,['JUD'],['DISTRICT COURT'],[nan],['USA'],['TEXAS'],[50],[5],[50],[3.5],[-0.65093572009764]
https://www.mondaq.com/unitedstates/employee-benefits-compensation/1201020/texas-supreme-court-to-texas-employers-employee-sales-commission-agreement-terms-better-be-clear-or-commissions-could-be-owed-long-after-employee-terminated,"['BUS', 'LAB', 'BUS', 'BUS', 'LAB']","['EMPLOYER', 'EMPLOYEE', 'EMPLOYER', 'EMPLOYER', 'EMPLOYEE']","[nan, nan, nan, nan, nan]","['USA', 'BUS', nan, 'LAB', 'USA']","['UNITED STATES', 'EMPLOYER', nan, 'EMPLOYEE', 'UNITED STATES']","[130, 30, 120, 30, 130]","[13, 3, 12, 3, 13]","[130, 30, 120, 30, 130]","[-4.4, 4.0, -4.0, 4.0, -4.4]","[-2.35849056603773, -2.35849056603773, -2.35849056603773, -2.35849056603773, -2.35849056603773]"
https://www.mondaq.com/unitedstates/healthcare/1193518/texas-supreme-court-clarifies-when-to-use-but-for-causation-test-in-medical-malpractice-case-,['USA'],['HOUSTON'],[nan],[nan],[nan],[114],[11],[114],[-2.0],[-2.99625468164794]
https://www.mondaq.com/unitedstates/insolvencybankruptcy/1195806/fifth-circuit-rules-that-chapter-11-debtors-may-reject-filed-rate-contracts-without-ferc-permission,"[nan, nan, 'JUD', 'JUD', 'JUD', 'JUD', 'GOV', 'JUD', 'USAGOV', 'USAJUD', 'USAJUD']","[nan, nan, 'JUDGE', 'DISTRICT COURT', 'JUDGE', 'JUDGE', 'KING', 'JUDGE', 'UNITED STATES', 'UNITED STATES', 'UNITED STATES']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","['USA', 'USAJUD', 'GOV', 'USA', 'USAGOV', 'USAGOV', 'JUD', 'GOV', 'JUD', nan, nan]","['UNITED STATES', 'UNITED STATES', 'KING', 'NEW YORK', 'UNITED STATES', 'UNITED STATES', 'JUDGE', 'KING', 'JUDGE', nan, nan]","[30, 190, 120, 16, 120, 190, 190, 190, 190, 120, 190]","[3, 19, 12, 1, 12, 19, 19, 19, 19, 12, 19]","[30, 190, 120, 16, 120, 190, 190, 190, 190, 120, 190]","[4.0, -10.0, -4.0, -2.0, -4.0, -10.0, -10.0, -10.0, -10.0, -4.0, -10.0]","[-4.21743205248359, -4.21743205248359, -4.49480392055293, -4.21743205248359, -4.49480392055293, -4.49480392055293, -4.49480392055293, -4.49480392055293, -4.49480392055293, -4.49480392055293, -4.58726120990938]"
https://www.mondaq.com/unitedstates/insolvencybankruptcy/1196036/business-restructuring-review-vol-21-no-3-mayjune-2022,"[nan, 'USA']","[nan, 'DALLAS']","[nan, nan]","['USA', nan]","['DALLAS', nan]","[40, 40]","[4, 4]","[40, 40]","[1.0, 1.0]","[-1.65289256198347, -1.65289256198347]"
https://www.mondaq.com/unitedstates/international-trade-investment/1205342/torres-talks-trade-podcast-episode-3-on-cross-border-trade-disruptions-between-texas-and-mexico-podcast,['USA'],['TEXAS'],[nan],['MEX'],['MEXICO'],[46],[4],[46],[7.0],[-1.2987012987013]
https://www.mondaq.com/unitedstates/patent/1196690/patent-case-summaries-week-ending-may-20-2022,"['USAJUD', 'USA', 'USAJUD', 'USAJUD']","['UNITED STATES', 'CALIFORNIA', 'TEXAS', 'CALIFORNIA']","[nan, nan, nan, nan]","['USA', 'USAJUD', nan, 'USA']","['UNITED STATES', 'UNITED STATES', nan, 'TEXAS']","[10, 10, 110, 10]","[1, 1, 11, 1]","[10, 10, 110, 10]","[0.0, 0.0, -2.0, 0.0]","[-4.19931893616104, -3.63636363636364, -3.63636363636364, -3.63636363636364]"
https://www.mondaq.com/unitedstates/patent/1202212/system-prior-art-allowed-at-trial-despite-arguments-that-related-printed-publications-could-have-been-asserted-in-parallel-ipr-proceedings,"['JUD', 'USA']","['DISTRICT COURT', 'UNITED STATES']","[nan, nan]","['MED', 'MED']","['PUBLICATION', 'PUBLICATION']","[10, 120]","[1, 12]","[10, 120]","[0.0, -4.0]","[-2.86458333333333, -2.86458333333333]"
https://www.mondaq.com/unitedstates/patent/1202688/samsung-defendants-lost-motion-to-transfer-to-ndca-in-patent-infringement-case-involving-wireless-charging-technology,['KOR'],['SOUTH KOREA'],[nan],['CHN'],['CHINA'],[110],[11],[110],[-2.0],[-3.5548686244204]
